,Accounts,Name,Role,Team
0,[],Abbedagge,Mid,FC Schalke 04
1,['Alphari'],Alphari,Top,Origen
2,"['Annes', 'Ka ik snak li nu']",Annes,Mid,
3,[],AoD,Support,Origen
4,[],Attila,ADC,Team Vitality
5,"['AIth0r', 'Bεtsy']",Betsy,Mid,Giants Gaming
6,[],Blanc,Mid,Team ROCCAT
7,[],Bravado,Support,FC Schalke 04
8,['FNC Broxah'],Broxah,Jungle,Fnatic
9,['FNC Bwipo'],Bwipo,Top,Fnatic
10,"['Keto aficionado', 'Vitality Cabo', 'Couille2Shaunz']",Cabochard,Top,Team Vitality
11,[],Caedrel,Jungle,exceL Esports
12,['G2 Caps 01'],Caps,Mid,G2 Esports
13,[],Chei,Support,
14,['Thirshaa'],CozQ,Mid,
15,[],Crazycaps,ADC,Misfits
16,[],Crownshot,ADC,SK Gaming
17,[],Czekolad,Mid,Splyce
18,[],Dan,Jungle,Fnatic
19,[],Dan Dan,Top,Misfits
20,['Robính00D'],Deadly,ADC,Giants Gaming
21,[],Djoko,Jungle,Giants Gaming
22,[],Doss,Support,Misfits
23,['SK Dreams'],Dreams,Support,SK Gaming
24,[],Exile,Mid,exceL Esports
25,['xL Exileh'],Exileh,Mid,
26,[],Expect,Top,exceL Esports
27,['MSF Febiven'],Febiven,Mid,Misfits
28,[],Finn,Top,Rogue
29,[],FORG1VEN,ADC,
30,[],Freeze,ADC,Splyce
31,[],Gilius,Jungle,
32,[],GorillA,Support,
33,[],Hans sama,ADC,Misfits
34,[],Hatrixx,Mid,Splyce
35,['huudnimi'],HeaQ,ADC,Rogue
36,[],Hiiva,Support,Misfits
37,"['Carl XVI Gustaf1', 'New folder kebab']",Hjarnan,ADC,exceL Esports
38,[],Homi,Support,Origen
39,[],Humanoid,Mid,Splyce
40,['FNC Hylissang'],Hylissang,Support,Fnatic
41,['REC iBo'],IceBeasto,Top,
42,['Fantastic Duo2'],IgNar,Support,FC Schalke 04
43,['1nition'],Inition,Jungle (Sub),
44,[],Inspired,Jungle,Rogue
45,['v Jactroll'],Jactroll,Support,Team Vitality
46,"['G2 Jerkz', 'Polish Wonderb0y']",Jankos,Jungle,G2 Esports
47,[],Jenax,Mid,SK Gaming
48,[],Jesiz,Support (Sub),
49,[],Jeskla,ADC,exceL Esports
50,['VIT Jiizuké'],Jiizuke,Mid,Team Vitality
51,[],Jisu,Top,
52,"['xL kaSing', 'Kasing 1']",kaSing,Support,exceL Esports
53,[],Keduii,ADC,SK Gaming
54,['Kikis'],Kikis,Jungle,
55,['Kirei sama'],Kirei,Jungle,Misfits
56,[],Kitty,ADC (Sub),
57,"['Kobbe', 'McD CoWorker']",Kobbe,ADC,Splyce
58,['Koold'],Kold,Jungle,Origen
59,['G2H Lamabear'],Lamabear,Jungle,G2 Esports
60,[],Larssen,Mid,Rogue
61,[],LIDER,Mid,Misfits
62,[],Lurox,Jungle,FC Schalke 04
63,[],M1RAGE,Top (Sub),
64,[],MagiFelix,Mid,Fnatic
65,['Maxlore'],Maxlore,Jungle,
66,['A Memento'],Memento,Jungle,FC Schalke 04
67,[],Mickey,Mid,exceL Esports
68,['MikyXD'],Mikyx,Support,G2 Esports
69,['VIT Attila'],Minitroupax,ADC,
70,['mithy'],mithy,Support,Origen
71,[],Mowgli,Jungle (Sub),Team Vitality
72,[],Mystiques,Support,exceL Esports
73,['the inescapable'],Nemesis,Mid,Fnatic
74,['Neon1337Ad'],Neon,ADC,Misfits
75,[],Nixerino,ADC,G2 Esports
76,[],Nji,Jungle,
77,['norskeren'],Norskeren,Support,Splyce
78,['V nukeduck'],Nukeduck,Mid,Origen
79,"['Odoamne', 'Mr Abdulson']",Odoamne,Top,FC Schalke 04
80,[],Orome,Top,Splyce
81,[],Patrik,ADC,Origen
82,[],PerkZ,ADC,G2 Esports
83,"['YOO SUCKER', 'GO Phaxi']",Phaxi,Top,
84,['Tschau'],Phones,Top (Sub),
85,[],Phrenic,Jungle,SK Gaming
86,[],Pirean,Mid (Sub),SK Gaming
87,[],Pretty,Mid,
88,"['Tommy2Tap', 'IlIllIlIIIlI']",Pride,Jungle,
89,[],Prime,Support,Splyce
90,[],Profit,Top,Rogue
91,['PowerToyZ'],promisq,Support (Sub),G2 Esports
92,['Rekkles'],Rekkles,ADC,Fnatic
93,[],Roison,Mid,Origen
94,[],Ronaldooo,Mid,Fnatic
95,[],Rozara,Jungle,Misfits
96,[],Sacre,Top,SK Gaming
97,[],Saken,Mid,Team Vitality
98,[],Samux,ADC,Unicorns Of Love
99,['Sâtorius'],Satorius,Top,Millenium
100,[],Sedrion,ADC,FC Schalke 04
101,[],Selfie,Mid,Rogue
102,[],Selfmade,Jungle,SK Gaming
103,['Sæncux'],Sencux,Mid,
104,"['llamame papi', 'excellent top']",Send0o,Top,exceL Esports
105,[],Sertuss,Mid,FC Schalke 04
106,[],Sharp,Jungle,Splyce
107,[],Shemek,Top (Sub),Team Vitality
108,[],Shikari,Top,Fnatic
109,['PercivaI'],Shook,Jungle,H2k-Gaming
110,[],Siler,Mid,Origen
111,[],Skeanz,Jungle,Team Vitality
112,[],Smittyj,Top,H2k-Gaming
113,[],sOAZ,Top,
114,[],Special,Mid,exceL Esports
115,[],Speedy,Jungle,Origen
116,[],sprattel,Support,
117,[],Steeelback,ADC,Giants Gaming
118,[],SZYGENDA,Top,Origen
119,['Targamas'],Targamas,Support,Fnatic
120,[],Taxer,Jungle,exceL Esports
121,['Th3Antønio'],Th3Antonio,Support (Sub),Giants Gaming
122,[],Thebaus,Top,G2 Esports
123,[],Toaster,ADC,Team Vitality
124,[],Totoro,Support,Unicorns Of Love
125,[],Trashy,Jungle,
126,[],TraYtoN,Support,Team Vitality
127,[],Trymbi,Support,G2 Esports
128,"['S04 Upset', 'RNG UZII']",Upset,ADC,FC Schalke 04
129,['vanderoza'],VandeR,Support,Rogue
130,[],Ventair,Top,FC Schalke 04
131,[],Venzer,ADC,Origen
132,[],Vichen,Jungle,Misfits
133,['SPY Vizicsacsi'],Vizicsacsi,Top,Splyce
134,[],Wardain,Top,G2 Esports
135,[],Werlyb,Top,
136,['WhiteKnight108'],WhiteKnight,Top,Unicorns Of Love
137,[],Woolite,ADC,Rogue
138,"['MS Paint abuser', 'NO Kingen']",Wunder,Top,G2 Esports
139,[],xani,Jungle,Team Vitality
140,[],Xerxe,Jungle,Splyce
141,[],XICOO,Mid,G2 Esports
142,[],xMatty,ADC,Fnatic
143,[],Xyraz,Top,
144,['Yukakaka'],Yuuki60,ADC,
145,[],Zhergoth,Top (Sub),
146,[],Zvene,Top,Misfits
